group,trials,semantic_successes,semantic_accuracy,semantic_ci95_low,semantic_ci95_high,command_successes,command_accuracy,command_ci95_low,command_ci95_high,odom_successes,odom_accuracy,odom_ci95_low,odom_ci95_high,overall_successes,overall_accuracy,overall_ci95_low,overall_ci95_high,mean_command_latency_ms,p95_command_latency_ms,mean_actuation_latency_ms,p95_actuation_latency_ms,mean_odom_response_latency_ms,p95_odom_response_latency_ms,mean_completion_latency_ms,p95_completion_latency_ms,mean_stop_command_latency_ms,p95_stop_command_latency_ms,mean_settle_latency_ms,p95_settle_latency_ms,mean_sim_displacement_m,sd_sim_displacement_m,min_sim_displacement_m,max_sim_displacement_m,mean_sim_longitudinal_displacement_m,sd_sim_longitudinal_displacement_m,min_sim_longitudinal_displacement_m,max_sim_longitudinal_displacement_m,mean_sim_yaw_delta_deg,sd_sim_yaw_delta_deg,min_sim_yaw_delta_deg,max_sim_yaw_delta_deg,mean_sim_final_speed_mps,sd_sim_final_speed_mps,min_sim_final_speed_mps,max_sim_final_speed_mps
backward,12,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,682.4430958343631,2597.930649004411,696.0045920010695,2645.2735229977407,1506.9044102468372,3482.9571429872885,2747.3023690787763,4738.831622002181,,,4472.918526254944,6341.442595992703,0.24732728832516496,0.004551980878771625,0.2397741673631779,0.25488894097370174,-0.247327211870235,0.004551979691112884,-0.25488885636216735,-0.2397740933598684,0.029616526659472776,0.0015306135279308792,0.02654093564267907,0.03140617094971673,0.00316561011615904,0.00047654892454532764,0.0016611166836278998,0.0033773400650199577
forward,12,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,672.2489284220501,2683.0298790009692,716.2945388384591,2720.479981013341,1529.013429171755,3546.201344986912,2710.6356673369496,4775.1841800054535,,,4475.131690337245,6523.896741011413,0.2469869924141168,0.0044625819564548435,0.23879538282745513,0.25374738588951823,0.24698694737101654,0.004462583520643438,0.2387953442713347,0.2537473464815906,-0.01643066920203759,0.0027058302405689057,-0.020481123968898313,-0.011047874457152475,0.001370215282458056,5.0030817764348744e-05,0.0012899435978978595,0.0014352152207238499
left,12,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,39.69755991905307,104.70984899438918,81.20174241776112,142.38930400460958,1168.1388554158427,1255.0993989862036,2075.987029755197,2136.771020013839,,,3785.212334502527,3874.2082779936027,0.24848159088476407,0.005821088976089349,0.2367768938445033,0.2569276245740298,0.2408116835782137,0.005359038446177427,0.2300194162761359,0.24858000966146926,12.10256215303051,0.39135197989211556,11.305450455228456,12.66578862162181,0.0029341510743531533,6.142476575091018e-05,0.0028296880808277142,0.003074166315279417
right,12,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,33.370493333980754,109.05634998925962,69.29761391559926,152.07996001117863,1156.5533514997999,1288.6504689813592,2074.4460528342947,2125.9663100063335,,,3822.49623658087,3990.7440099923406,0.25101453401825546,0.009828015551556145,0.23166340246555608,0.2670368604766123,0.24380977199282125,0.00909438008285116,0.22587371155920077,0.25859474864304405,-11.784609556551304,0.6542996905387968,-12.84493380638906,-10.4949942407587,0.0020628056019561278,6.354555484549625e-05,0.0019712747373069783,0.002199447289646676
stop,12,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,12,1.0,0.7575059933447592,1.0,50.15700483151401,105.83538800710812,,,,,,,97.17034817003878,192.18212401028723,962.160177671952,1179.4953140197322,0.028439665104225572,0.005954827490145369,0.01915341462448299,0.03865139502530782,0.028439650286359905,0.00595482634199526,0.019153393569429657,0.038651380487479875,-0.0012779202432415338,0.0012895179321211316,-0.0032891001812221056,0.0009694666776697595,0.0014087246930155498,3.815670935473064e-05,0.00132630661067237,0.0014393151544713832
overall,60,60,1.0,0.93982814785791,0.9999999999999998,60,1.0,0.93982814785791,0.9999999999999998,60,1.0,0.93982814785791,0.9999999999999998,60,1.0,0.93982814785791,0.9999999999999998,295.5834164681922,2537.82792299171,390.6996217932222,2645.2735229977407,1340.1525115835586,3426.265493995743,2402.0927797513045,4630.634055996779,97.17034817003878,192.18212401028723,3503.5837930695075,6315.54283600417,0.2044500141493054,0.08897596893768568,0.01915341462448299,0.2670368604766123,0.10254416827163527,0.1955492658380366,-0.25488885636216735,0.25859474864304405,0.06597210673867965,7.625042457430281,-12.84493380638906,12.66578862162181,0.0021883013535883853,0.0007841404041637272,0.0012899435978978595,0.0033773400650199577
